USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
AR,5041,66850,Desha County,1989488184,133059776,768.146,51.375,33.828752,-91.244103
AR,5043,66851,Drew County,2145506718,18920680,828.385,7.305,33.587242,-91.722778
AR,5045,66852,Faulkner County,1678084569,41857893,647.912,16.161,35.146343,-92.324646
AR,5047,66853,Franklin County,1576934896,27931424,608.858,10.784,35.508558,-93.887665
AR,5049,66854,Fulton County,1601113473,5527446,618.193,2.134,36.383619,-91.819664
AR,5051,66855,Garland County,1755505406,147165424,677.804,56.821,34.578861,-93.146915
AR,5053,66856,Grant County,1636383569,2897719,631.811,1.119,34.285568,-92.422979
AR,5055,66857,Greene County,1496205816,4789584,577.688,1.849,36.120607,-90.566346
AR,5057,66858,Hempstead County,1884268834,35371745,727.52,13.657,33.728611,-93.665809
AR,5059,66859,Hot Spring County,1593379456,18035696,615.207,6.964,34.315177,-92.944147
AR,5061,66872,Howard County,1524346473,17509484,588.553,6.76,34.083064,-93.990931
AR,5063,69163,Independence County,1978630975,19594198,763.954,7.565,35.737499,-91.559942
AR,5065,66860,Izard County,1503685418,8912603,580.576,3.441,36.094879,-91.913625
AR,5067,66861,Jackson County,1641888774,19587819,633.937,7.563,35.596605,-91.223178
AR,5069,66862,Jefferson County,2255220496,111446634,870.746,43.03,34.277695,-91.930701
AR,5071,66863,Johnson County,1708890431,59408531,659.806,22.938,35.573359,-93.466322
AR,5073,66864,Lafayette County,1368278117,43469501,528.295,16.784,33.240629,-93.611514
AR,5075,66865,Lawrence County,1521921890,12244924,587.617,4.728,36.041098,-91.101153
AR,5077,66866,Lee County,1560781751,43720910,602.621,16.881,34.779858,-90.779345
AR,5079,66873,Lincoln County,1454438336,27514921,561.562,10.624,33.957675,-91.727626
AR,5081,66874,Little River County,1378539246,84198999,532.257,32.509,33.699497,-94.229774
AR,5083,82850,Logan County,1834025159,60692619,708.121,23.434,35.218654,-93.72091
AR,5085,69164,Lonoke County,1996702719,82664855,770.931,31.917,34.755114,-91.894132
AR,5087,69165,Madison County,2160703614,7323063,834.252,2.827,36.012545,-93.724053
AR,5089,69898,Marion County,1546245372,112149491,597.009,43.301,36.266672,-92.678567
AR,5091,69166,Miller County,1620264349,31239265,625.588,12.062,33.305505,-93.901502
AR,5093,69899,Mississippi County,2332480064,49826361,900.576,19.238,35.766943,-90.052209
AR,5095,69167,Monroe County,1572464643,36715078,607.132,14.176,34.679512,-91.20331
AR,5097,69168,Montgomery County,2019881691,52856416,779.881,20.408,34.545581,-93.66333
AR,5099,69169,Nevada County,1600189574,7257493,617.837,2.802,33.666699,-93.305072
AR,5101,69900,Newton County,2126135098,5931441,820.905,2.29,35.910742,-93.215899
AR,5103,69170,Ouachita County,1897900178,18050428,732.783,6.969,33.59116,-92.878415
AR,5105,69171,Perry County,1428557830,23206838,551.569,8.96,34.946363,-92.926877
AR,5107,69172,Phillips County,1801659695,82148488,695.625,31.718,34.423687,-90.855593
AR,5109,69173,Pike County,1555596258,34992296,600.619,13.511,34.158191,-93.658659
AR,5111,69174,Poinsett County,1964145925,13522955,758.361,5.221,35.56887,-90.681104
AR,5113,69175,Polk County,2221380609,12384829,857.68,4.782,34.490915,-94.230884
AR,5115,69901,Pope County,2104507243,47189891,812.555,18.22,35.456557,-93.026818
AR,5117,69176,Prairie County,1678092312,71735056,647.915,27.697,34.831116,-91.55362
AR,5119,69177,Pulaski County,1964546492,127273982,758.516,49.141,34.770311,-92.312996
AR,5121,69178,Randolph County,1689282528,9858844,652.236,3.807,36.341298,-91.028441
AR,5123,83331,St. Francis County,1644111375,20049932,634.795,7.741,35.014026,-90.742138
AR,5125,67102,Saline County,1874165722,17792843,723.619,6.87,34.648525,-92.674463
AR,5127,69179,Scott County,2311062119,14900927,892.306,5.753,34.858869,-94.063641
AR,5129,69180,Searcy County,1725176990,6256693,666.095,2.416,35.896387,-92.695888
AR,5131,69181,Sebastian County,1377584005,39702610,531.888,15.329,35.196981,-94.274989
AR,5133,69182,Sevier County,1463672048,41829039,565.127,16.15,33.994877,-94.243279
AR,5135,69183,Sharp County,1565489620,5172585,604.439,1.997,36.173399,-91.471069
AR,5137,69902,Stone County,1570579427,7841929,606.404,3.028,35.857031,-92.140573
AR,5139,69903,Union County,2691561515,41401587,1039.218,15.985,33.168219,-92.598145
AR,5141,69904,Van Buren County,1838267640,37620450,709.759,14.525,35.582953,-92.515976
AR,5143,69905,Washington County,2439803373,26926563,942.013,10.396,35.971209,-94.218417
AR,5145,69906,White County,2680883279,18261873,1035.095,7.051,35.255118,-91.753034
AR,5147,69907,Woodruff County,1519723218,18704035,586.768,7.222,35.192777,-91.244535
AR,5149,69908,Yell County,2408665998,48861387,929.991,18.865,34.997713,-93.408303
CA,6001,1675839,Alameda County,1914240928,212981785,739.093,82.233,37.648327,-121.912928
CA,6003,1675840,Alpine County,1912243121,12557304,738.321,4.848,38.621783,-119.798352
CA,6005,1675841,Amador County,1539947599,29470568,594.577,11.379,38.44355,-120.653856
CA,6007,1675842,Butte County,4238422715,105325812,1636.464,40.667,39.665959,-121.601919
CA,6009,1675885,Calaveras County,2641819830,43808937,1020.012,16.915,38.1839,-120.561442
CA,6011,1675902,Colusa County,2980372943,14581043,1150.728,5.63,39.177739,-122.237563
CA,6013,1675903,Contra Costa County,1871895181,209854843,722.743,81.025,37.919479,-121.951543
CA,6015,1682074,Del Norte County,2606282680,578761025,1006.291,223.461,41.749903,-123.980998
CA,6017,277273,El Dorado County,4423442340,203356517,1707.901,78.516,38.785532,-120.534398
CA,6019,277274,Fresno County,15433278958,135402551,5958.823,52.279,36.761006,-119.655019
CA,6021,277275,Glenn County,3403106647,33749275,1313.947,13.031,39.602546,-122.4017
CA,6023,1681908,Humboldt County,9241007147,1254299668,3567.973,484.288,40.706673,-123.925818
CA,6025,277277,Imperial County,10817378445,790204917,4176.613,305.1,33.040814,-115.3554
CA,6027,1804637,Inyo County,26368485935,119089390,10180.93,45.981,36.561977,-117.403927
CA,6029,2054176,Kern County,21061723516,79488735,8131.977,30.691,35.346629,-118.729506
CA,6031,277280,Kings County,3598582456,5468555,1389.421,2.111,36.072478,-119.81553
CA,6033,277281,Lake County,3254288304,188912510,1256.488,72.94,39.094802,-122.746757
CA,6035,1693324,Lassen County,11761620852,463438654,4541.187,178.935,40.721086,-120.629952
CA,6037,277283,Los Angeles County,10510433235,1794939537,4058.101,693.03,34.196398,-118.261862
CA,6039,277284,Madera County,5535058332,41957139,2137.098,16.2,37.209821,-119.749802
CA,6041,277285,Marin County,1348069363,796944863,520.493,307.702,38.051817,-122.745974
CA,6043,277286,Mariposa County,3752425654,36268135,1448.82,14.003,37.570033,-119.91286
CA,6045,277287,Mendocino County,9081415725,962953346,3506.354,371.798,39.432388,-123.442881
CA,6047,277288,Merced County,5011540709,112771056,1934.967,43.541,37.194806,-120.722802
CA,6049,277289,Modoc County,10140841282,745929084,3915.401,288.005,41.592918,-120.71837
CA,6051,277290,Mono County,7896722400,214695408,3048.942,82.894,37.915836,-118.875167
CA,6053,277291,Monterey County,8496731189,1270747397,3280.606,490.638,36.240107,-121.315572
CA,6055,277292,Napa County,1938262912,104154062,748.368,40.214,38.5071,-122.325904
CA,6057,1682927,Nevada County,2480638607,41513172,957.78,16.028,39.297508,-120.771343
CA,6059,277294,Orange County,2048156380,407152512,790.798,157.202,33.675687,-117.777207
CA,6061,277295,Placer County,3644332280,246390570,1407.085,95.132,39.062032,-120.722718
CA,6063,277296,Plumas County,6612371702,156389436,2553.051,60.382,39.992295,-120.824371
CA,6065,277297,Riverside County,18664463540,250908223,7206.39,96.876,33.729828,-116.002239
CA,6067,277298,Sacramento County,2499183604,76073827,964.94,29.372,38.450011,-121.340441
CA,6069,277299,San Benito County,3596741869,4555000,1388.71,1.759,36.610702,-121.085296
CA,6071,277300,San Bernardino County,51947553553,123844759,20057.063,47.817,34.85722,-116.181197
CA,6073,277301,San Diego County,10895227071,826282961,4206.671,319.03,33.023604,-116.776117
CA,6075,277302,San Francisco County,121455687,479135404,46.894,184.995,37.727239,-123.032229
CA,6077,277303,San Joaquin County,3603647025,91127543,1391.376,35.185,37.934982,-121.272244
CA,6079,277304,San Luis Obispo County,8548549787,815580311,3300.614,314.897,35.385226,-120.447542
CA,6081,277305,San Mateo County,1161542720,757525243,448.474,292.482,37.414663,-122.371545
CA,6083,277306,Santa Barbara County,7083927512,2729816973,2735.12,1053.988,34.537057,-120.039973
CA,6085,277307,Santa Clara County,3341645574,35831344,1290.217,13.835,37.220777,-121.690622
CA,6087,277308,Santa Cruz County,1152967332,419570851,445.163,161.997,37.012488,-122.007205
CA,6089,1682610,Shasta County,9778188572,186530168,3775.38,72.02,40.760514,-122.043556
CA,6091,277310,Sierra County,2468686374,23299110,953.165,8.996,39.576925,-120.521993
CA,6093,277311,Siskiyou County,16259635638,179864756,6277.881,69.446,41.587986,-122.533287
CA,6095,277312,Solano County,2128379537,218647641,821.772,84.42,38.267226,-121.939594
CA,6097,1657246,Sonoma County,4081401191,497545934,1575.838,192.104,38.525182,-122.92611
CA,6099,277314,Stanislaus County,3870867629,51101821,1494.55,19.731,37.562384,-121.002656
CA,6101,277315,Sutter County,1560236924,15745939,602.411,6.08,39.03619,-121.70394
CA,6103,1692767,Tehama County,7639716445,32276063,2949.711,12.462,40.126156,-122.232276
CA,6105,277317,Trinity County,8234308182,73407949,3179.284,28.343,40.647724,-123.114404
CA,6107,277318,Tulare County,12494776875,37391591,4824.261,14.437,36.228824,-118.781061
CA,6109,277319,Tuolumne County,5752116004,138684372,2220.904,53.546,38.021434,-119.964733
CA,6111,277320,Ventura County,4773381391,945947791,1843.013,365.232,34.358741,-119.133143
CA,6113,277321,Yolo County,2628233324,22752821,1014.767,8.785,38.679595,-121.902441
CA,6115,277322,Yuba County,1636983167,30986706,632.043,11.964,39.266247,-121.340781
CO,8001,198116,Adams County,3023271310,41765940,1167.292,16.126,39.874325,-104.331872
CO,8003,198117,Alamosa County,1871620060,1847609,722.637,0.713,37.568442,-105.788041
CO,8005,198118,Arapahoe County,2066625076,19498045,797.928,7.528,39.644554,-104.331706
CO,8007,198119,Archuleta County,3496919043,13827548,1350.168,5.339,37.202395,-107.050863
CO,8009,198120,Baca County,6617316188,6142193,2554.96,2.372,37.306693,-102.537758
CO,8011,198121,Bent County,3918305859,73093279,1512.866,28.221,37.931891,-103.077584
CO,8013,198122,Boulder County,1881212055,36592000,726.34,14.128,40.09497,-105.397691
CO,8014,1945881,Broomfield County,85478497,1411781,33.003,0.545,39.953302,-105.052038
CO,8015,198123,Chaffee County,2624707749,4008555,1013.405,1.548,38.738224,-106.316685
CO,8017,198124,Cheyenne County,4605714129,8166134,1778.276,3.153,38.835386,-102.604585
CO,8019,198125,Clear Creek County,1023554877,3279667,395.197,1.266,39.689403,-105.670783
CO,8021,198126,Conejos County,3334118523,9235291,1287.31,3.566,37.213406,-106.176447
CO,8023,198127,Costilla County,3177806137,8828906,1226.958,3.409,37.277547,-105.42894
CO,8025,198128,Crowley County,2039409698,33430385,787.421,12.908,38.30618,-103.772736
CO,8027,198129,Custer County,1913033446,3364761,738.626,1.299,38.101994,-105.373515
CO,8029,198130,Delta County,2958007403,16886462,1142.093,6.52,38.861756,-107.864757
CO,8031,198131,Denver County,397136421,4225831,153.335,1.632,39.76185,-104.881105
CO,8033,198132,Dolores County,2763872222,2716141,1067.137,1.049,37.747602,-108.530383
CO,8035,198133,Douglas County,2176213467,6752511,840.241,2.607,39.325414,-104.925987
CO,8037,198134,Eagle County,4362874440,18843976,1684.515,7.276,39.626992,-106.695169
CO,8039,198136,Elbert County,4793695462,442148,1850.856,0.171,39.310582,-104.117729
CO,8041,198135,El Paso County,5508553622,7108817,2126.865,2.745,38.827383,-104.527472
CO,8043,198137,Fremont County,3970640129,2235368,1533.073,0.863,38.45517,-105.424958
CO,8045,198138,Garfield County,7634486761,21422730,2947.692,8.271,39.599352,-107.90978
CO,8047,198139,Gilpin County,388228973,942056,149.896,0.364,39.861156,-105.528878
CO,8049,198140,Grand County,4782244665,59902382,1846.435,23.128,40.123205,-106.095935
CO,8051,198141,Gunnison County,8389606575,53067068,3239.245,20.489,38.67264,-107.066506
CO,8053,198142,Hinsdale County,2893561630,15324686,1117.21,5.917,37.821165,-107.338261
CO,8055,198143,Huerfano County,4120807998,5792101,1591.053,2.236,37.687815,-104.959928
CO,8057,198144,Jackson County,4179536193,18750017,1613.728,7.239,40.663432,-106.329248
CO,8059,198145,Jefferson County,1979311263,25444831,764.216,9.824,39.579511,-105.245462
CO,8061,198146,Kiowa County,4578597112,47032919,1767.806,18.16,38.387663,-102.756849
CO,8063,198147,Kit Carson County,5596501602,2251930,2160.821,0.869,39.30534,-102.603023
CO,8065,198149,Lake County,976206802,18111565,376.916,6.993,39.205341,-106.350079
CO,8067,198148,La Plata County,4376816404,25396402,1689.898,9.806,37.287367,-107.839718
CO,8069,198150,Larimer County,6723986975,98048035,2596.146,37.857,40.658093,-105.486764
CO,8071,198151,Las Animas County,12361209113,6929970,4772.69,2.676,37.318831,-104.04411
CO,8073,198152,Lincoln County,6676208039,22780366,2577.698,8.796,38.99374,-103.507555
CO,8075,198153,Logan County,4761983526,16363553,1838.612,6.318,40.728091,-103.090464
CO,8077,198154,Mesa County,8621965147,31428362,3328.959,12.135,39.019492,-108.461837
CO,8079,198155,Mineral County,2268152612,5222161,875.739,2.016,37.651483,-106.932303
CO,8081,198156,Moffat County,12284800386,19803413,4743.188,7.646,40.616358,-108.211099
CO,8083,198157,Montezuma County,5255909595,27403242,2029.318,10.58,37.338025,-108.595786
CO,8085,198158,Montrose County,5804077510,4923261,2240.967,1.901,38.407507,-108.266282
CO,8087,198159,Morgan County,3316439900,34663099,1280.485,13.383,40.263167,-103.812285
CO,8089,198160,Otero County,3268485050,20052339,1261.969,7.742,37.88417,-103.72126
CO,8091,198161,Ouray County,1402657135,1599543,541.569,0.618,38.1506,-107.767133
CO,8093,198162,Park County,5682126654,43530449,2193.881,16.807,39.118914,-105.717648
CO,8095,198163,Phillips County,1781724991,301808,687.928,0.117,40.594712,-102.345105
CO,8097,198164,Pitkin County,2514046292,6472574,970.679,2.499,39.217332,-106.915783
CO,8099,198165,Prowers County,4243420040,15352639,1638.394,5.928,37.958181,-102.392161
CO,8101,198166,Pueblo County,6179911297,30284241,2386.077,11.693,38.170658,-104.489892
CO,8103,198167,Rio Blanco County,8342320873,4868111,3220.988,1.88,39.972622,-108.200716
CO,8105,198168,Rio Grande County,2361939881,984917,911.95,0.38,37.485853,-106.453128
CO,8107,198169,Routt County,6117617719,15831744,2362.026,6.113,40.483664,-106.987702
CO,8109,198170,Saguache County,8207137045,4454510,3168.793,1.72,38.031651,-106.234666
CO,8111,198171,San Juan County,1003638261,2035929,387.507,0.786,37.781074,-107.670257
CO,8113,198172,San Miguel County,3332711756,5204095,1286.767,2.009,38.009374,-108.427326
CO,8115,198173,Sedgwick County,1419419282,3530746,548.041,1.363,40.871568,-102.355358
CO,8117,198174,Summit County,1575579877,28287709,608.335,10.922,39.621023,-106.137555
CO,8119,198175,Teller County,1442748659,4944578,557.048,1.909,38.871994,-105.182552
CO,8121,198176,Washington County,6521814069,15207400,2518.087,5.872,39.96579,-103.209744
CO,8123,198177,Weld County,10326656276,76677079,3987.144,29.605,40.553696,-104.394221
CO,8125,198178,Yuma County,6123752021,11134666,2364.394,4.299,40.000631,-102.422649
CT,9001,212794,Fairfield County,1618664455,548955210,624.97,211.953,41.227413,-73.367061
CT,9003,212338,Hartford County,1903947639,40133958,735.118,15.496,41.806053,-72.732916
CT,9005,212796,Litchfield County,2384262297,62138320,920.569,23.992,41.791883,-73.235404
CT,9007,212797,Middlesex County,956491412,180679144,369.303,69.761,41.433003,-72.52278
